Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Nieuwegein,1h 38m,98,ok,2026-07-26T01:11:03.256536
"3081HS, Rotterdam",Emmen,3h 10m,190,ok,2026-07-26T01:11:20.217690
"3081HS, Rotterdam",Vlissingen,1h 56m,116,ok,2026-07-26T01:11:37.392396
"3081HS, Rotterdam",Tholen,1h 26m,86,ok,2026-07-26T01:11:54.396397
"3081HS, Rotterdam",Ameland,4h 39m,279,ok,2026-07-26T01:12:11.446019
"3081HS, Rotterdam",Duiven,2h 10m,130,ok,2026-07-26T01:12:28.428269
"3081HS, Rotterdam",Oldenzaal,3h 7m,187,ok,2026-07-26T01:12:45.548152
"3081HS, Rotterdam",Enschede,2h 54m,174,ok,2026-07-26T01:13:02.625338
"3081HS, Rotterdam",De Bilt,1h 41m,101,ok,2026-07-26T01:13:19.643384
"3081HS, Rotterdam",Edam-Volendam,2h 26m,146,ok,2026-07-26T01:13:36.954085
"3081HS, Rotterdam",Hilvarenbeek,1h 52m,112,ok,2026-07-26T01:13:54.214322
"3081HS, Rotterdam",Deventer,2h 7m,127,ok,2026-07-26T01:14:11.289278
"3081HS, Rotterdam",Etten-Leur,1h 9m,69,ok,2026-07-26T01:14:28.439041
"3081HS, Rotterdam",Hoorn,1h 53m,113,ok,2026-07-26T01:14:45.397987
"3081HS, Rotterdam",Bodegraven,1h 21m,81,ok,2026-07-26T01:15:02.552222
"3081HS, Rotterdam",Oldebroek,2h 38m,158,ok,2026-07-26T01:15:19.700210
"3081HS, Rotterdam",Sneek,3h 30m,210,ok,2026-07-26T01:15:36.676781
"3081HS, Rotterdam",Tilburg,1h 8m,68,ok,2026-07-26T01:15:53.682654
"3081HS, Rotterdam",Maastricht,2h 50m,170,ok,2026-07-26T01:16:10.876490
"3081HS, Rotterdam",Meppel,2h 29m,149,ok,2026-07-26T01:16:27.911523
"3081HS, Rotterdam",Katwijk,1h 30m,90,ok,2026-07-26T01:16:44.977567
"3081HS, Rotterdam",Enkhuizen,2h 33m,153,ok,2026-07-26T01:17:02.109071
"3081HS, Rotterdam",Weesp,1h 26m,86,ok,2026-07-26T01:17:19.083280
